PeakID (cmd=annotatePeaks.pl hek293.abcam.CIMS.m6A.9536.bed hg19),Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
B045_1-4_chr3_r_c383[k=14][m=2]_GTACT,chr3,49062000,49062000,-,2,NA,"exon (NM_000884, exon 13 of 14)","exon (NM_000884, exon 13 of 14)",-2926,NM_199070,25915,Hs.31387,XM_005265020,NDUFAF3,2P1|C3orf60|E3-3,"NADH dehydrogenase (ubiquinone) complex I, assembly factor 3",protein-coding,
B045_1-4_chr7_f_c17[k=5][m=2]_GTACT,chr7,905606,905606,+,2,NA,"exon (NM_001130965, exon 16 of 19)","exon (NM_001130965, exon 16 of 19)",-10585,NM_015949,51608,Hs.107387,XM_005249771,ENSG00000239857,GET4,C7orf20|CEE|TRC35,golgi to ER traffic protein 4 homolog (S. cerevisiae),protein-coding
B045_1-4_chr1_f_c176[k=5][m=2]_AAACC,chr1,11083492,11083492,+,2,NA,"3' UTR (NM_007375, exon 6 of 6)","3' UTR (NM_007375, exon 6 of 6)",10813,NM_007375,23435,Hs.300624,XM_005263435,TARDBP,ALS10|TDP-43,TAR DNA binding protein,protein-coding,
B045_1-4_chr4_r_c823[k=14][m=2]_TTACA,chr4,155457686,155457686,-,2,NA,"3' UTR (NM_001201564, exon 15 of 15)","3' UTR (NM_001201564, exon 15 of 15)",-13899,NM_001201564,5356,Hs.249996,NM_001201564,ENSG00000171566,PLRG1,Cwc1|PRL1|PRP46|PRPF46|TANGO4,pleiotropic regulator 1,protein-coding
B045_1-4_chr10_f_c348[k=16][m=2]_GGACT,chr10,62551959,62551959,+,2,NA,"exon (NM_033379, exon 6 of 7)","exon (NM_033379, exon 6 of 7)",13747,NM_001170407,983,Hs.732435,XM_005270303,ENSG00000170312,CDK1,CDC2|CDC28A|P34CDC2,cyclin-dependent kinase 1,protein-coding
B045_1-4_chr11_f_c392[k=6][m=2]_TGACT,chr11,45924541,45924541,+,2,NA,"exon (NM_005456, exon 5 of 12)","exon (NM_005456, exon 5 of 12)",4292,NM_001080446,143678,Hs.193741,NM_001080446,ENSG00000234776,C11orf94,0,chromosome 11 open reading frame 94,protein-coding
B045_1-4_chr12_f_c497[k=8][m=2]_AGACA,chr12,58152825,58152825,+,2,NA,"3' UTR (NM_138396, exon 4 of 4)","3' UTR (NM_138396, exon 4 of 4)",3944,NM_138396,92979,Hs.632709,NM_138396,ENSG00000139266,MARCH9,MARCH-IX|RNF179,membrane-associated ring finger (C3HC4) 9,protein-coding
B045_1-4_chr22_r_c103[k=6][m=2]_AGACA,chr22,21982696,21982696,-,2,NA,"3' UTR (NM_001017964, exon 5 of 5)","3' UTR (NM_001017964, exon 5 of 5)",-1644,NM_001017964,150223,Hs.355952,XM_005261347,ENSG00000161179,YDJC,0,YdjC homolog (bacterial),protein-coding
B045_1-4_chr1_f_c1121[k=10][m=2]_GAACT,chr1,93602389,93602389,+,2,NA,"exon (NM_007358, exon 15 of 15)","exon (NM_007358, exon 15 of 15)",43857,NM_001167830,50999,Hs.482873,NM_001167830,ENSG00000117500,TMED5,CGI-100|p28,transmembrane emp24 protein transport domain containing 5,protein-coding
B045_1-4_chr19_r_c174[k=4][m=2]_AAACT,chr19,2429623,2429623,-,2,NA,"3' UTR (NM_032737, exon 12 of 12)","3' UTR (NM_032737, exon 12 of 12)",1709,NM_012458,26517,Hs.75056,NM_012458,ENSG00000099800,TIMM13,TIM13|TIM13B|TIMM13A|TIMM13B|ppv1,translocase of inner mitochondrial membrane 13 homolog (yeast),protein-coding
B045_1-4_chrX_r_c211[k=7][m=2]_GAACT,chrX,48929074,48929074,-,2,NA,"3' UTR (NM_007213, exon 3 of 3)","3' UTR (NM_007213, exon 3 of 3)",-2630,NM_007213,11230,Hs.29595,NM_007213,ENSG00000243279,PRAF2,0,"PRA1 domain family, member 2",protein-coding
B045_1-4_chr9_f_c893[k=6][m=2]_TGACA,chr9,140084521,140084521,+,2,NA,"3' UTR (NM_003731, exon 3 of 3)","3' UTR (NM_003731, exon 3 of 3)",-1464,NM_013366,29882,Hs.533262,XM_005266074,ENSG00000176248,ANAPC2,APC2|RP11-350O14.5,anaphase promoting complex subunit 2,protein-coding
B045_1-4_chr9_r_c617[k=6][m=2]_GGACC,chr9,123964140,123964140,-,2,NA,"5' UTR (NM_016322, exon 1 of 8)","5' UTR (NM_016322, exon 1 of 8)",-225,NM_016322,51552,Hs.371563,NM_016322,ENSG00000119396,RAB14,FBP|RAB-14,"RAB14, member RAS oncogene family",protein-coding
B045_1-4_chr1_r_c1768[k=6][m=2]_GGACA,chr1,157095705,157095705,-,2,NA,"exon (NM_001145312, exon 5 of 5)","exon (NM_001145312, exon 5 of 5)",2449,NR_001560,360155,Hs.491808,NR_001560,ENSG00000235700,CYCSP52,HC6|HCP2,"cytochrome c, somatic pseudogene 52",pseudo
B045_1-4_chr8_r_c244[k=4][m=2]_GAACT,chr8,48710942,48710942,-,2,NA,"exon (NM_006904, exon 73 of 86)","exon (NM_006904, exon 73 of 86)",60216,NM_005195,1052,Hs.440829,NM_005195,CEBPD,C/EBP-delta|CELF|CRP3|NF-IL6-beta,"CCAAT/enhancer binding protein (C/EBP), delta",protein-coding,
B045_1-4_chr20_f_c533[k=4][m=2]_AGACT,chr20,55049734,55049734,+,2,NA,"exon (NM_001283036, exon 3 of 9)","exon (NM_001283036, exon 3 of 9)",6093,NM_016407,51507,Hs.517134,XM_005260422,ENSG00000022277,RTFDC1,C20orf43|CDAO5|HSPC164|SHUJUN-3,replication termination factor 2 domain containing 1,protein-coding
B045_1-4_chr5_f_c841[k=4][m=2]_GAACC,chr5,140086122,140086122,+,2,NA,"3' UTR (NM_144723, exon 6 of 6)","3' UTR (NM_144723, exon 6 of 6)",-4739,NR_026703,56664,NR_026703,ENSG00000199990,VTRNA1-1,HVG1|VAULTRC1|VR1|hvg-1|vRNA,vault RNA 1-1,ncRNA,
B045_1-4_chr17_f_c457[k=9][m=2]_AGACT,chr17,34052321,34052321,+,2,NA,"3' UTR (NM_001282, exon 21 of 21)","3' UTR (NM_001282, exon 21 of 21)",-6358,NM_033315,91608,Hs.744994,NM_033315,ENSG00000141150,RASL10B,RRP17|VTS58635,"RAS-like, family 10, member B",protein-coding
B045_1-4_chr5_f_c787[k=8][m=2]_AGACT,chr5,138704642,138704642,+,2,NA,"non-coding (NR_109830, exon 4 of 4)","non-coding (NR_109830, exon 4 of 4)",14397,NM_005847,9963,Hs.643467,XM_005272148,ENSG00000170482,SLC23A1,SLC23A2|SVCT1|YSPL3,"solute carrier family 23 (ascorbic acid transporter), member 1",protein-coding
B045_1-4_chr7_r_c358[k=26][m=2]_TGACT,chr7,40172565,40172565,-,2,NA,"3' UTR (NM_138701, exon 2 of 2)","3' UTR (NM_138701, exon 2 of 2)",-1686,NM_138701,136647,Hs.654989,NM_138701,MPLKIP,ABHS|C7orf11|ORF20,M-phase specific PLK1 interacting protein,protein-coding,
B045_1-4_chr17_f_c649[k=17][m=2]_GGACT,chr17,43227354,43227354,+,2,NA,"exon (NM_006460, exon 1 of 1)","exon (NM_006460, exon 1 of 1)",2670,NM_006460,10614,Hs.745252,NM_006460,ENSG00000186834,HEXIM1,CLP1|EDG1|HIS1|MAQ1,hexamethylene bis-acetamide inducible 1,protein-coding
B045_1-4_chr13_r_c388[k=6][m=2]_GGACA,chr13,77581772,77581772,-,2,NA,"exon (NM_012158, exon 5 of 5)","exon (NM_012158, exon 5 of 5)",-15713,NM_006493,1203,Hs.30213,XM_005266255,CLN5,NCL,"ceroid-lipofuscinosis, neuronal 5",protein-coding,
B045_1-4_chr6_f_c598[k=29][m=2]_TGACT,chr6,43608452,43608452,+,2,NA,"3' UTR (NM_014628, exon 3 of 3)","3' UTR (NM_014628, exon 3 of 3)",-4315,NM_152732,221421,Hs.534585,XM_005248901,RSPH9,C6orf206|CILD12|MRPS18AL1,radial spoke head 9 homolog (Chlamydomonas),protein-coding,
B045_1-4_chr19_f_c522[k=43][m=2]_GAACT,chr19,13054816,13054816,+,2,NA,"3' UTR (NM_004343, exon 9 of 9)","3' UTR (NM_004343, exon 9 of 9)",-1812,NM_001270362,5886,Hs.643267,XM_005260014,ENSG00000179262,RAD23A,HHR23A|HR23A,RAD23 homolog A (S. cerevisiae),protein-coding
B045_1-4_chr19_f_c150[k=16][m=2]_AAACT,chr19,1969768,1969768,+,2,NA,"5' UTR (NM_001319, exon 2 of 12)","5' UTR (NM_001319, exon 2 of 12)",-15220,NR_033400,255193,Hs.374717,NM_152771,ENSG00000180846,CSNK1G2-AS1,C19orf34,CSNK1G2 antisense RNA 1,ncRNA
B045_1-4_chr2_r_c522[k=7][m=2]_AGACT,chr2,71336982,71336982,-,2,NA,"3' UTR (NM_032601, exon 3 of 3)","3' UTR (NM_032601, exon 3 of 3)",-20412,NM_032601,84693,Hs.94949,XM_005264613,ENSG00000124370,MCEE,GLOD2,methylmalonyl CoA epimerase,protein-coding
B045_1-4_chr12_r_c865[k=5][m=2]_AAACT,chr12,120533563,120533563,-,2,NA,"3' UTR (NM_006861, exon 6 of 6)","3' UTR (NM_006861, exon 6 of 6)",-21080,NM_001167606,11021,Hs.524788,XM_005253826,ENSG00000111737,RAB35,H-ray|RAB1C|RAY,"RAB35, member RAS oncogene family",protein-coding
B045_1-4_chr13_r_c375[k=6][m=2]_GCACA,chr13,77460483,77460483,-,2,NA,promoter-TSS (NM_138444),promoter-TSS (NM_138444),-57,NM_138444,115207,Hs.644125,NM_138444,ENSG00000178695,KCTD12,C13orf2|PFET1|PFETIN,potassium channel tetramerization domain containing 12,protein-coding
B045_1-4_chr22_f_c347[k=14][m=2]_AGACA,chr22,38201640,38201640,+,2,NA,"exon (NM_005318, exon 1 of 1)","exon (NM_005318, exon 1 of 1)",526,NM_005318,3005,Hs.745024,NM_005318,ENSG00000189060,H1F0,H10|H1FV,"H1 histone family, member 0",protein-coding
B045_1-4_chr15_r_c379[k=8][m=2]_GAACT,chr15,72533816,72533816,-,2,NA,"exon (NM_020214, exon 23 of 23)","exon (NM_020214, exon 23 of 23)",10089,NM_182471,5315,Hs.534770,XM_005254443,ENSG00000067225,PKM,CTHBP|HEL-S-30|OIP3|PK3|PKM2|TCB|THBP1,"pyruvate kinase, muscle",protein-coding
B045_1-4_chr11_r_c1071[k=11][m=2]_GGACT,chr11,118965101,118965101,-,2,NA,TTS (NM_000190),TTS (NM_000190),-1076,NM_002105,3014,Hs.477879,XR_246424,ENSG00000188486,H2AFX,H2A.X|H2A/X|H2AX,"H2A histone family, member X",protein-coding
B045_1-4_chr22_f_c30[k=6][m=2]_CCACA,chr22,19423556,19423556,+,2,NA,TTS (NM_003776),TTS (NM_003776),3520,NM_003776,64976,Hs.431307,XM_005261267,MRPL40,MRP-L22|MRPL22|NLVCF|URIM,mitochondrial ribosomal protein L40,protein-coding,
B045_1-4_chr3_r_c1130[k=4][m=2]_TGACT,chr3,150260479,150260479,-,2,NA,"3' UTR (NM_014445, exon 3 of 3)","3' UTR (NM_014445, exon 3 of 3)",-3949,NM_014445,27230,Hs.713956,NM_014445,ENSG00000120742,SERP1,RAMP4,stress-associated endoplasmic reticulum protein 1,protein-coding
B045_1-4_chr7_f_c690[k=4][m=2]_GGACC,chr7,99661807,99661807,+,2,NA,"exon (NM_145914, exon 4 of 4)","exon (NM_145914, exon 4 of 4)",14390,NM_145914,7589,Hs.632294,XM_005250566,ENSG00000166529,ZSCAN21,NY-REN-21|ZNF38|Zipro1,zinc finger and SCAN domain containing 21,protein-coding
B045_1-4_chr14_f_c508[k=8][m=2]_AAACA,chr14,82128106,82128106,+,2,NA,Intergenic,Intergenic,-38701,NR_110074,101928559,Hs.525499,XR_245793,ENSG00000258977,RP11-799P8.1,0,uncharacterized LOC101928559,ncRNA
B045_1-4_chr1_r_c303[k=4][m=2]_GAACT,chr1,16451278,16451278,-,2,NA,"3' UTR (NM_004431, exon 17 of 17)","3' UTR (NM_004431, exon 17 of 17)",-31304,NM_004431,1969,Hs.171596,XM_005245751,ENSG00000142627,EPHA2,ARCC2|CTPA|CTPP1|CTRCT6|ECK,EPH receptor A2,protein-coding
B045_1-4_chr19_r_c542[k=6][m=2]_GGACT,chr19,10602397,10602397,-,2,NA,"exon (NM_012289, exon 3 of 6)","exon (NM_012289, exon 3 of 6)",-11084,NM_012289,9817,Hs.465870,XM_005260173,ENSG00000079999,KEAP1,INrf2|KLHL19,kelch-like ECH-associated protein 1,protein-coding
B045_1-4_chr6_r_c517[k=8][m=2]_GGACT,chr6,44223290,44223290,-,2,NA,"exon (NM_178148, exon 4 of 4)","exon (NM_178148, exon 4 of 4)",1268,NR_039790,100616124,NR_039790,ENSG00000265700,MIR4647,0,microRNA 4647,ncRNA,
B045_1-4_chr1_f_c264[k=19][m=2]_CAACT,chr1,16200524,16200524,+,2,NA,"intron (NM_015001, intron 2 of 14)","intron (NM_015001, intron 2 of 14)",-25882,NR_024279,729614,Hs.119298,NR_024279,ENSG00000179743,FLJ37453,0,uncharacterized LOC729614,ncRNA
B045_1-4_chr14_r_c237[k=8][m=2]_TTACT,chr14,51372075,51372075,-,2,NA,TTS (NM_001206673),TTS (NM_001206673),-33197,NM_181814,145447,Hs.271896,XM_005267356,ENSG00000131969,ABHD12B,BEM46L3|C14orf29|c14_5314,abhydrolase domain containing 12B,protein-coding
B045_1-4_chr1_r_c205[k=4][m=2]_AAACT,chr1,8074308,8074308,-,2,NA,"exon (NM_018948, exon 4 of 4)","exon (NM_018948, exon 4 of 4)",-12085,NM_018948,54206,Hs.605445,XM_005263477,ENSG00000116285,ERRFI1,GENE-33|MIG-6|MIG6|RALT,ERBB receptor feedback inhibitor 1,protein-coding
B045_1-4_chr20_f_c408[k=6][m=2]_GGACT,chr20,43247282,43247282,+,2,NA,TTS (NM_000022),TTS (NM_000022),33094,NM_000022,100,Hs.654536,XM_005260236,ENSG00000196839,ADA,0,adenosine deaminase,protein-coding
B045_1-4_chr11_f_c445[k=6][m=2]_GAACT,chr11,57428425,57428425,+,2,NA,"exon (NM_001142597, exon 3 of 3)","exon (NM_001142597, exon 3 of 3)",3209,NM_006831,10978,Hs.523687,XM_005273725,ENSG00000172409,CLP1,HEAB|hClp1,cleavage and polyadenylation factor I subunit 1,protein-coding
B045_1-4_chr7_r_c695[k=6][m=2]_GAACT,chr7,99669473,99669473,-,2,NA,"exon (NM_001278291, exon 4 of 4)","exon (NM_001278291, exon 4 of 4)",-9914,NM_001278290,7551,Hs.435302,NM_001278284,ENSG00000166526,ZNF3,A8-51|HF.12|KOX25|PP838|Zfp113,zinc finger protein 3,protein-coding
B045_1-4_chr1_f_c467[k=11][m=2]_CGACT,chr1,28661201,28661201,+,2,NA,"exon (NM_001127350, exon 3 of 3)","exon (NM_001127350, exon 3 of 3)",5688,NM_017638,54797,Hs.479911,XM_005245913,ENSG00000130772,MED18,p28b,mediator complex subunit 18,protein-coding
B045_1-4_chr6_f_c1243[k=6][m=2]_GGACG,chr6,160212127,160212127,+,2,NA,"exon (NM_014161, exon 2 of 4)","exon (NM_014161, exon 2 of 4)",635,NM_014161,29074,Hs.416998,NM_014161,ENSG00000112110,MRPL18,L18mt|MRP-L18,mitochondrial ribosomal protein L18,protein-coding
B045_1-4_chr7_f_c933[k=12][m=2]_GAACT,chr7,134346378,134346378,+,2,NA,"exon (NM_199186, exon 3 of 4)","exon (NM_199186, exon 3 of 4)",14847,NM_199186,669,Hs.198365,XM_005250545,ENSG00000172331,BPGM,DPGM,"2,3-bisphosphoglycerate mutase",protein-coding
B045_1-4_chr17_r_c563[k=9][m=2]_AAACC,chr17,37564238,37564238,-,2,NA,"exon (NM_004774, exon 17 of 17)","exon (NM_004774, exon 17 of 17)",6329,NM_032875,84961,Hs.462946,XM_005257746,ENSG00000108306,FBXL20,Fbl2|Fbl20|RP11-690G19.3,F-box and leucine-rich repeat protein 20,protein-coding
B045_1-4_chr4_f_c781[k=8][m=2]_TGACT,chr4,146031282,146031282,+,2,NA,"exon (NM_002940, exon 6 of 18)","exon (NM_002940, exon 6 of 18)",-11589,NM_001256708,10393,Hs.480876,NM_001256706,ANAPC10,APC10|DOC1,anaphase promoting complex subunit 10,protein-coding,
B045_1-4_chrM_f_c285[k=49][m=2]_AAACT,chrM,11323,11323,+,2,NA,NA,Intergenic,NA,NA,4663,NA,NAC,neuroacanthocytosis,unknown,,,
B045_1-4_chr9_r_c121[k=13][m=2]_AAACA,chr9,21334918,21334918,-,2,NA,"5' UTR (NM_018847, exon 1 of 1)","5' UTR (NM_018847, exon 1 of 1)",-511,NM_018847,55958,Hs.744736,NM_001040713,KLHL9,0,kelch-like family member 9,protein-coding,
B045_1-4_chr1_f_c345[k=4][m=2]_GGACT,chr1,22853291,22853291,+,2,NA,"3' UTR (NM_001083621, exon 19 of 19)","3' UTR (NM_001083621, exon 19 of 19)",-36713,NM_020526,2046,Hs.283613,NM_001006943,ENSG00000070886,EPHA8,EEK|EK3|HEK3,EPH receptor A8,protein-coding
B045_1-4_chr2_r_c102[k=10][m=2]_GGACT,chr2,17846703,17846703,-,2,NA,"3' UTR (NM_001142286, exon 28 of 28)","3' UTR (NM_001142286, exon 28 of 28)",-88393,NM_024624,79677,Hs.526728,XM_005262627,ENSG00000163029,SMC6,SMC-6|SMC6L1|hSMC6,structural maintenance of chromosomes 6,protein-coding
B045_1-4_chr11_f_c518[k=4][m=2]_ATACT,chr11,61730518,61730518,+,2,NA,"exon (NM_001139443, exon 9 of 9)","exon (NM_001139443, exon 9 of 9)",4614,NM_002032,2495,Hs.645560,XM_005273865,ENSG00000167996,FTH1,FHC|FTH|FTHL6|HFE5|PIG15|PLIF,"ferritin, heavy polypeptide 1",protein-coding
B045_1-4_chr17_r_c1061[k=4][m=2]_GAACT,chr17,71204171,71204171,-,2,NA,"3' UTR (NM_032837, exon 3 of 3)","3' UTR (NM_032837, exon 3 of 3)",-14998,NM_018714,9382,Hs.103555,XM_005257815,ENSG00000166685,COG1,CDG2G|LDLB,component of oligomeric golgi complex 1,protein-coding
B045_1-4_chr5_f_c1139[k=23][m=2]_TGACT,chr5,176883168,176883168,+,2,NA,TTS (NM_080881),TTS (NM_080881),7842,NM_001174102,80758,Hs.534492,NM_001174101,ENSG00000131188,PRR7,0,proline rich 7 (synaptic),protein-coding
B045_1-4_chr1_f_c1823[k=13][m=2]_TGACA,chr1,201845316,201845316,+,2,NA,"3' UTR (NM_018085, exon 24 of 24)","3' UTR (NM_018085, exon 24 of 24)",-12481,NR_030775,149345,Hs.632471,NM_198149,ENSG00000198892,SHISA4,C1orf40|TMEM58,shisa family member 4,protein-coding
B045_1-4_chr1_r_c1743[k=6][m=2]_GGACT,chr1,156565081,156565081,-,2,NA,TTS (NM_144772),TTS (NM_144772),-3523,NM_144772,128240,Hs.528320,XM_005244897,ENSG00000163382,APOA1BP,AIBP|YJEFN1,apolipoprotein A-I binding protein,protein-coding
B045_1-4_chr1_r_c1721[k=19][m=2]_TGACT,chr1,156281893,156281893,-,2,NA,"exon (NM_005998, exon 11 of 14)","exon (NM_005998, exon 11 of 14)",12465,NM_001004319,391104,Hs.532378,NM_001004319,ENSG00000189030,VHLL,VHLP|VLP,von Hippel-Lindau tumor suppressor-like,protein-coding
B045_1-4_chr14_r_c280[k=10][m=2]_AGACA,chr14,55655769,55655769,-,2,NA,"exon (NM_001146015, exon 2 of 20)","exon (NM_001146015, exon 2 of 20)",-2627,NM_001146015,9787,Hs.77695,NM_001146015,ENSG00000126787,DLGAP5,DLG7|HURP,"discs, large (Drosophila) homolog-associated protein 5",protein-coding
B045_1-4_chr10_f_c958[k=8][m=2]_GGACA,chr10,124914540,124914540,+,2,NA,"exon (NM_004725, exon 2 of 8)","exon (NM_004725, exon 2 of 8)",780,NM_004725,9184,Hs.418533,NM_001007793,ENSG00000154473,BUB3,BUB3L|hBUB3,BUB3 mitotic checkpoint protein,protein-coding
B045_1-4_chr11_f_c167[k=8][m=2]_GGACA,chr11,11964381,11964381,+,2,NA,"exon (NM_001282659, exon 20 of 28)","exon (NM_001282659, exon 20 of 28)",65805,NM_001018057,27122,Hs.731954,XM_005252866,ENSG00000050165,DKK3,REIC|RIG,dickkopf WNT signaling pathway inhibitor 3,protein-coding
B045_1-4_chr3_f_c1217[k=6][m=2]_GAACT,chr3,169496991,169496991,+,2,NA,"exon (NM_001185118, exon 4 of 9)","exon (NM_001185118, exon 4 of 9)",4938,NM_001185119,55892,Hs.630744,XM_005247621,ENSG00000085274,MYNN,OSZF|ZBTB31|ZNF902,myoneurin,protein-coding
B045_1-4_chr10_f_c699[k=11][m=2]_GGACT,chr10,101515461,101515461,+,2,NA,"exon (NM_015960, exon 9 of 9)","exon (NM_015960, exon 9 of 9)",-23038,NM_004376,1355,Hs.28326,XM_005269539,COX15,CEMCOX2,cytochrome c oxidase assembly homolog 15 (yeast),protein-coding,
B045_1-4_chr1_f_c502[k=26][m=2]_AGACG,chr1,29095574,29095574,+,2,NA,"3' UTR (NM_001173128, exon 6 of 6)","3' UTR (NM_001173128, exon 6 of 6)",32122,NM_001172828,51441,Hs.532286,NM_001172828,ENSG00000198492,YTHDF2,HGRG8|NY-REN-2,"YTH domain family, member 2",protein-coding
B045_1-4_chr10_r_c909[k=4][m=2]_GGACA,chr10,126370467,126370467,-,2,NA,"exon (NM_014661, exon 4 of 5)","exon (NM_014661, exon 4 of 5)",-62463,NM_014661,9679,Hs.129195,XM_005270299,ENSG00000189319,FAM53B,KIAA0140|RP11-12J10.2|bA12J10.2,"family with sequence similarity 53, member B",protein-coding
B045_1-4_chr3_r_c1057[k=4][m=2]_GAACT,chr3,136561334,136561334,-,2,NA,"non-coding (NR_110177, exon 3 of 3)","non-coding (NR_110177, exon 3 of 3)",-19571,NR_110175,101927597,Hs.559587,XR_241573,RP11-85F14.5,0,uncharacterized LOC101927597,ncRNA,
B045_1-4_chr22_r_c443[k=10][m=2]_CGACA,chr22,39925157,39925157,-,2,NA,TTS (NM_194326),TTS (NM_194326),-3703,NM_194326,91582,Hs.526933,NM_194326,ENSG00000187051,RPS19BP1,AROS|S19BP|dJ1104E15.4,ribosomal protein S19 binding protein 1,protein-coding
B045_1-4_chr2_r_c324[k=7][m=2]_GGACT,chr2,45616098,45616098,-,2,NA,"3' UTR (NM_018079, exon 21 of 21)","3' UTR (NM_018079, exon 21 of 21)",134018,NR_033831,400952,Hs.468368,NR_033831,ENSG00000205054,LINC01121,UNQ6975,long intergenic non-protein coding RNA 1121,ncRNA
B045_1-4_chrX_f_c66[k=4][m=2]_GAACG,chrX,17771450,17771450,+,2,NA,"exon (NM_006746, exon 7 of 7)","exon (NM_006746, exon 7 of 7)",15881,NM_001037536,6322,Hs.109655,XM_005274578,ENSG00000047634,SCML1,0,sex comb on midleg-like 1 (Drosophila),protein-coding
B045_1-4_chr10_r_c152[k=4][m=2]_GAACA,chr10,21804297,21804297,-,2,NA,"exon (NM_207371, exon 4 of 4)","exon (NM_207371, exon 4 of 4)",-10314,NM_207371,387640,Hs.350848,XM_005252450,ENSG00000180592,SKIDA1,C10orf140|DLN-1,SKI/DACH domain containing 1,protein-coding
B045_1-4_chr19_r_c145[k=4][m=2]_GGACA,chr19,2116707,2116707,-,2,NA,"exon (NM_001261826, exon 17 of 32)","exon (NM_001261826, exon 17 of 32)",-19839,NM_001039846,113177,Hs.424049,XM_005259479,ENSG00000099840,IZUMO4,C19orf36|IMAGE:4215339,IZUMO family member 4,protein-coding
B045_1-4_chr1_r_c1328[k=4][m=2]_GAACT,chr1,109514081,109514081,-,2,NA,"exon (NM_014969, exon 15 of 15)","exon (NM_014969, exon 15 of 15)",7960,NM_015127,23155,Hs.658489,XM_005270662,ENSG00000121940,CLCC1,MCLC,chloride channel CLIC-like 1,protein-coding
B045_1-4_chrX_r_c415[k=170][m=2]_AGACC,chrX,73046895,73046895,-,2,NA,"non-coding (NR_003255, exon 1 of 1)","non-coding (NR_003255, exon 1 of 1)",-25693,NR_001564,7503,Hs.655450,NR_001564,ENSG00000229807,XIST,DXS1089|DXS399E|LINC00001|NCRNA00001|SXI1|swd66,X inactive specific transcript (non-protein coding),ncRNA
B045_1-4_chr7_r_c326[k=4][m=2]_GGACG,chr7,32909601,32909601,-,2,NA,"exon (NM_015483, exon 4 of 4)","exon (NM_015483, exon 4 of 4)",-21867,NM_015483,25948,Hs.372541,XM_005249696,ENSG00000170852,KBTBD2,BKLHD1,kelch repeat and BTB (POZ) domain containing 2,protein-coding
B045_1-4_chr6_r_c412[k=4][m=2]_AAACT,chr6,36463389,36463389,-,2,NA,"3' UTR (NM_007271, exon 14 of 14)","3' UTR (NM_007271, exon 14 of 14)",-51858,NM_007271,11329,Hs.409578,XM_005248839,ENSG00000112079,STK38,NDR|NDR1,serine/threonine kinase 38,protein-coding
B045_1-4_chr11_r_c399[k=4][m=2]_AGACT,chr11,47493764,47493764,-,2,NA,"3' UTR (NM_001025596, exon 12 of 13)","3' UTR (NM_001025596, exon 12 of 13)",-16812,NM_001025596,10658,Hs.595333,XM_005252753,ENSG00000149187,CELF1,BRUNOL2|CUG-BP|CUGBP|CUGBP1|EDEN-BP|NAB50|NAPOR|hNab50,"CUGBP, Elav-like family member 1",protein-coding
B045_1-4_chr10_f_c881[k=4][m=2]_TGACT,chr10,115676756,115676756,+,2,NA,Intergenic,Intergenic,62365,NM_198514,374354,Hs.594372,NM_198514,NHLRC2,0,NHL repeat containing 2,protein-coding,
B045_1-4_chr3_f_c353[k=4][m=2]_TGACA,chr3,44907057,44907057,+,2,NA,TTS (NM_144638),TTS (NM_144638),3649,NM_144638,131616,Hs.646856,NM_144638,ENSG00000169964,TMEM42,0,transmembrane protein 42,protein-coding
B045_1-4_chr21_f_c140[k=10][m=2]_GAACA,chr21,30419438,30419438,+,2,NA,"exon (NM_006447, exon 14 of 18)","exon (NM_006447, exon 14 of 18)",22500,NM_006447,10600,Hs.99819,XM_005260913,ENSG00000156256,USP16,UBP-M|UBPM,ubiquitin specific peptidase 16,protein-coding
B045_1-4_chr3_f_c1169[k=79][m=2]_TGACT,chr3,158409280,158409280,+,2,NA,"3' UTR (NM_024996, exon 18 of 18)","3' UTR (NM_024996, exon 18 of 18)",-18798,NM_020169,56925,Hs.478067,NM_020169,ENSG00000079257,LXN,ECI|TCI,latexin,protein-coding
B045_1-4_chr17_f_c1187[k=7][m=2]_AGACA,chr17,80559531,80559531,+,2,NA,"3' UTR (NM_004514, exon 9 of 9)","3' UTR (NM_004514, exon 9 of 9)",46880,NM_019613,56270,Hs.132161,XM_005256377,ENSG00000141580,WDR45B,WDR45L|WIPI-3|WIPI3,WD repeat domain 45B,protein-coding
B045_1-4_chr19_f_c85[k=14][m=2]_GAACA,chr19,1206741,1206741,+,2,NA,"5' UTR (NM_000455, exon 1 of 10)","5' UTR (NM_000455, exon 1 of 10)",943,NM_000455,6794,Hs.515005,XM_005259617,ENSG00000118046,STK11,LKB1|PJS|hLKB1,serine/threonine kinase 11,protein-coding
B045_1-4_chr2_r_c218[k=4][m=2]_TGACT,chr2,32582507,32582507,-,2,NA,"exon (NM_016252, exon 1 of 74)","exon (NM_016252, exon 1 of 74)",-411,NM_016252,57448,Hs.150107,XM_005264449,ENSG00000115760,BIRC6,APOLLON|BRUCE,baculoviral IAP repeat containing 6,protein-coding
